borough_name,mean,median,std,count
Bronx,801045.9512049985,490000.0,1365467.1104488638,3361
Brooklyn,1241441.2007277138,875000.0,1344616.0334974886,8245
Manhattan,5185913.751696065,5000000.0,3739708.211564628,737
Queens,778313.7053872054,645750.0,855004.7493677854,10692
Staten Island,544363.7901159243,490000.0,474075.6968633965,4917
